year,cd_mun,Chronic_resp,Ulcer,Tuberculosis,Dermatitis,Accidents,STD,Pneumonia,HIV,Diabetes
2003,210150,0,0,0,0,0,0,97,0,0
2003,210160,11,48,0,0,0,11,221,1,11
2003,210170,2,3,0,0,0,2,29,0,15
2003,210173,0,1,0,0,0,0,0,0,1
2003,210177,3,2,0,1,0,1,24,0,4
2003,210180,0,19,0,0,0,0,81,0,9
2003,210190,6,5,0,1,0,0,72,0,0
2003,210193,2,1,0,0,0,0,17,0,0
2003,210197,1,1,0,0,0,0,32,0,0
2003,210200,15,43,0,0,0,0,351,4,16
2003,210203,7,0,0,0,0,0,156,0,1
2003,210207,3,1,0,0,0,0,35,0,1
2003,210210,3,2,0,0,0,14,96,3,6
2003,210215,1,5,0,0,0,0,17,0,0
2003,210220,104,0,0,0,0,10,57,0,6
2003,210230,0,2,0,0,0,2,190,0,7
2003,210232,0,2,1,2,0,0,17,0,1
2003,210235,1,2,0,0,0,0,173,0,3
2003,210237,1,1,0,0,0,0,5,0,0
2003,210240,0,1,0,0,0,1,8,0,0
2003,210250,0,3,0,0,0,0,78,0,0
2003,210255,0,1,0,0,0,0,17,0,1
2003,210260,16,12,0,0,0,0,339,0,0
2003,210270,0,2,0,0,0,1,36,0,1
2003,210275,15,3,0,0,0,0,91,0,7
2003,210280,17,0,0,0,0,1,299,0,1
2003,210290,0,1,0,0,0,0,4,0,0
2003,210300,103,25,0,0,0,622,1237,0,98
2003,210310,0,2,0,0,0,0,40,0,4
2003,210312,1,0,0,0,0,0,27,0,1
2003,210315,1,0,0,0,0,0,13,0,1
2003,210317,5,1,0,0,0,0,40,0,0
2003,210320,43,57,1,0,0,339,234,2,50
2003,210325,1,1,0,0,0,0,72,0,1
2003,210330,33,82,0,2,0,5,519,1,159
2003,210340,158,21,0,0,0,3,507,0,4
2003,210350,1,2,0,1,0,3,426,0,13
2003,210355,3,0,0,0,0,0,54,0,0
2003,210360,16,15,0,1,0,3,383,1,55
2003,210370,14,12,1,0,0,1,264,0,28
2003,210375,1,0,0,0,0,0,86,6,2
2003,210380,24,1,0,0,0,0,142,0,1
2003,210390,2,0,0,0,0,0,37,0,0
2003,210400,1,3,0,0,0,0,68,0,4
2003,210405,9,3,0,1,0,0,144,3,7
2003,210407,0,0,0,0,0,0,3,0,2
2003,210408,0,0,0,0,0,0,7,0,0
2003,210409,2,1,0,0,0,0,4,0,3
2003,210410,1,8,0,0,0,0,17,0,1
2003,210420,0,0,0,0,0,1,95,0,0
2003,210430,32,15,0,0,0,0,322,0,0
2003,210440,10,9,0,0,0,2,142,0,5
2003,210450,1,23,0,0,0,0,111,0,6
2003,210455,1,3,0,0,0,0,301,1,0
2003,210460,2,1,0,0,0,4,63,0,15
2003,210462,0,0,0,0,0,0,58,0,10
2003,210465,0,0,0,0,0,0,10,0,3
2003,210467,68,5,0,0,0,0,512,0,11
2003,210470,22,0,0,0,0,0,99,0,2
2003,210480,126,1,1,0,0,1,736,0,23
2003,210490,1,1,0,0,0,0,58,0,3
2003,210500,1,20,0,0,0,0,89,0,0
2003,210510,1,6,0,0,0,0,69,0,4
2003,210515,1,1,0,0,0,0,46,0,1
2003,210520,12,1,0,0,0,0,163,0,0
2003,210530,119,115,2,0,0,0,3263,213,107
2003,210535,1,0,0,0,0,0,5,1,0
2003,210540,8,19,2,1,0,4,394,3,38
2003,210542,14,3,0,0,0,0,296,2,9
2003,210545,0,1,0,0,0,0,52,0,0
2003,210547,0,0,0,0,0,0,27,0,0
2003,210550,2,3,0,0,0,0,55,1,4
2003,210560,2,5,0,0,0,0,126,2,0
2003,210565,0,0,0,0,0,0,9,0,1
2003,210570,22,10,1,0,0,2,286,0,21
2003,210580,2,3,0,0,0,0,107,0,3
2003,210590,4,3,0,0,0,0,29,0,2
2003,210592,0,2,0,0,0,1,32,0,0
2003,210594,4,0,0,0,0,0,21,2,0
2003,210596,0,1,0,0,0,1,110,0,0
2003,210598,0,1,0,0,0,0,2,0,0
2003,210600,8,1,0,0,0,0,74,0,1
2003,210610,1,1,0,0,0,0,95,0,3
2003,210620,2,0,0,0,0,0,6,0,0
2003,210630,0,1,0,0,0,4,38,1,1
2003,210632,3,1,0,0,0,1,133,0,4
2003,210635,0,0,0,0,0,0,8,0,2
2003,210637,6,0,0,0,0,0,36,0,4
2003,210640,1,4,0,0,0,27,42,0,6
2003,210650,3,19,0,0,0,0,45,0,3
2003,210660,12,0,1,1,0,16,38,1,27
2003,210663,0,5,0,0,0,0,3,1,1
2003,210667,0,1,0,0,0,4,1,0,0
2003,210670,12,0,0,0,0,1,63,0,3
2003,210675,22,34,0,1,0,0,10,2,1
2003,210680,1,1,0,0,0,0,62,0,7
2003,210690,6,36,0,3,0,0,178,0,2
